Plaintext,Ciphertext,Cipher Class
readmedos,SFBENFEPT,0
interrupt,JOUFSSVQU,0
reporters,SFQPSUFST,0
australia,BVTUSBMJB,0
cancernet,DBODFSOFU,0
estimates,FTUJNBUFT,0
permitted,QFSNJUUFE,0
composing,DPNQPTJOH,0
sorcerers,TPSDFSFST,0
tradition,USBEJUJPO,0
scattered,TDBUUFSFE,0
volunteer,WPMVOUFFS,0
describes,EFTDSJCFT,0
galactica,HBMBDUJDB,0
bookmarks,CPPLNBSLT,0
postcards,QPTUDBSET,0
databases,EBUBCBTFT,0
fingering,GJOHFSJOH,0
meanwhile,NFBOXIJMF,0
economics,FDPOPNJDT,0
attention,BUUFOUJPO,0
chemicals,DIFNJDBMT,0
intrigues,JOUSJHVFT,0
undeleted,VOEFMFUFE,0
comparing,DPNQBSJOH,0
dedicated,EFEJDBUFE,0
branching,CSBODIJOH,0
confusing,DPOGVTJOH,0
manualtxt,NBOVBMUYU,0
newcomers,OFXDPNFST,0
amendment,BNFOENFOU,0
decisions,EFDJTJPOT,0
imploding,JNQMPEJOH,0
gifformat,HJGGPSNBU,0
calendars,DBMFOEBST,0
ukrainian,VLSBJOJBO,0
exploring,FYQMPSJOH,0
proofread,QSPPGSFBE,0
qualities,RVBMJUJFT,0
newsgroup,OFXTHSPVQ,0
americans,BNFSJDBOT,0
establish,FTUBCMJTI,0
remembers,SFNFNCFST,0
continues,DPOUJOVFT,0
archiving,BSDIJWJOH,0
supported,TVQQPSUFE,0
resulting,SFTVMUJOH,0
worldwide,XPSMEXJEF,0
resources,SFTPVSDFT,0
highspeed,IJHITQFFE,0
backspace,CBDLTQBDF,0
agreement,BHSFFNFOU,0
confirmed,DPOGJSNFE,0
predicted,QSFEJDUFE,0
killfiles,LJMMGJMFT,0
hawaiians,IBXBJJBOT,0
perfectly,QFSGFDUMZ,0
following,GPMMPXJOH,0
available,BWBJMBCMF,0
survivors,TVSWJWPST,0
pubwwwsrc,QVCXXXTSD,0
astronomy,BTUSPOPNZ,0
worcester,XPSDFTUFS,0
dragonsrv,ESBHPOTSW,0
destroyed,EFTUSPZFE,0
unixbased,VOJYCBTFE,0
moderated,NPEFSBUFE,0
leftarrow,MFGUBSSPX,0
overwrite,PWFSXSJUF,0
espionage,FTQJPOBHF,0
residents,SFTJEFOUT,0
liability,MJBCJMJUZ,0
etiquette,FUJRVFUUF,0
navigator,OBWJHBUPS,0
lostfound,MPTUGPVOE,0
regularly,SFHVMBSMZ,0
celestial,DFMFTUJBM,0
canadians,DBOBEJBOT,0
answering,BOTXFSJOH,0
cofounder,DPGPVOEFS,0
available,BWBJMBCMF,0
executive,FYFDVUJWF,0
delivered,EFMJWFSFE,0
seqlocgov,TFRMPDHPW,0
advantage,BEWBOUBHF,0
documents,EPDVNFOUT,0
middlesex,NJEEMFTFY,0
ftpuntedu,GUQVOUFEV,0
somewhere,TPNFXIFSF,0
antiviral,BOUJWJSBM,0
charities,DIBSJUJFT,0
subscribe,TVCTDSJCF,0
expensive,FYQFOTJWF,0
encounter,FODPVOUFS,0
addicting,BEEJDUJOH,0
selection,TFMFDUJPO,0
procedure,QSPDFEVSF,0
disappear,EJTBQQFBS,0
represent,SFQSFTFOU,0
sprintnet,TQSJOUOFU,0
completed,DPNQMFUFE,0
receiving,SFDFJWJOH,0
educators,FEVDBUPST,0
databases,EBUBCBTFT,0
democracy,EFNPDSBDZ,0
practiced,QSBDUJDFE,0
directory,EJSFDUPSZ,0
integrate,JOUFHSBUF,0
seriously,TFSJPVTMZ,0
lowercase,MPXFSDBTF,0
conflicts,DPOGMJDUT,0
powerless,QPXFSMFTT,0
something,TPNFUIJOH,0
brunswick,CSVOTXJDL,0
approvals,BQQSPWBMT,0
clarinews,DMBSJOFXT,0
practices,QSBDUJDFT,0
specifics,TQFDJGJDT,0
galleries,HBMMFSJFT,0
ftpefforg,GUQFGGPSH,0
scientist,TDJFOUJTU,0
behaviour,CFIBWJPVS,0
chemistry,DIFNJTUSZ,0
supported,TVQQPSUFE,0
kidsphere,LJETQIFSF,0
immediate,JNNFEJBUF,0
currently,DVSSFOUMZ,0
videotape,WJEFPUBQF,0
something,TPNFUIJOH,0
depending,EFQFOEJOH,0
economics,FDPOPNJDT,0
classroom,DMBTTSPPN,0
carefully,DBSFGVMMZ,0
relatives,SFMBUJWFT,0
longitude,MPOHJUVEF,0
prototype,QSPUPUZQF,0
telephone,UFMFQIPOF,0
drwxrwsrx,ESXYSXTSY,0
macintosh,NBDJOUPTI,0
apartment,BQBSUNFOU,0
knowledge,LOPXMFEHF,0
automatic,BVUPNBUJD,0
regarding,SFHBSEJOH,0
champaign,DIBNQBJHO,0
reference,SFGFSFODF,0
computing,DPNQVUJOH,0
screening,TDSFFOJOH,0
newsbytes,OFXTCZUFT,0
impugning,JNQVHOJOH,0
publishes,QVCMJTIFT,0
leftright,MFGUSJHIU,0
killfiles,LJMMGJMFT,0
sternheim,TUFSOIFJN,0
classroom,DMBTTSPPN,0
graphical,HSBQIJDBM,0
subscribe,TVCTDSJCF,0
lostfound,MPTUGPVOE,0
neophytes,OFPQIZUFT,0
retrieval,SFUSJFWBM,0
developed,EFWFMPQFE,0
promotion,QSPNPUJPO,0
nicddnmil,OJDEEONJM,0
expanding,FYQBOEJOH,0
reporting,SFQPSUJOH,0
discussed,EJTDVTTFE,0
whatevers,XIBUFWFST,0
gutenberg,HVUFOCFSH,0
telephony,UFMFQIPOZ,0
prarienet,QSBSJFOFU,0
irritable,JSSJUBCMF,0
surprised,TVSQSJTFE,0
president,QSFTJEFOU,0
universal,VOJWFSTBM,0
copyright,DPQZSJHIU,0
immediacy,JNNFEJBDZ,0
generally,HFOFSBMMZ,0
broadcast,CSPBEDBTU,0
developed,EFWFMPQFE,0
districts,EJTUSJDUT,0
classical,DMBTTJDBM,0
histories,IJTUPSJFT,0
veronicas,WFSPOJDBT,0
donations,EPOBUJPOT,0
internets,JOUFSOFUT,0
direction,EJSFDUJPO,0
reposting,SFQPTUJOH,0
providers,QSPWJEFST,0
instantly,JOTUBOUMZ,0
directory,EJSFDUPSZ,0
indicates,JOEJDBUFT,0
improving,JNQSPWJOH,0
providing,QSPWJEJOH,0
killfiles,LJMMGJMFT,0
revisited,SFWJTJUFE,0
virtually,WJSUVBMMZ,0
