Plaintext,Ciphertext,Cipher Class
ifyouhave,JGZPVIBWF,0
asiasouth,BTJBTPVUI,0
seriously,TFSJPVTMZ,0
unlessthe,VOMFTTUIF,0
waywelive,XBZXFMJWF,0
dirguitar,EJSHVJUBS,0
anfaqfrom,BOGBRGSPN,0
choicethe,DIPJDFUIF,0
uponevery,VQPOFWFSZ,0
ofarecent,PGBSFDFOU,0
agroupfor,BHSPVQGPS,0
thebasics,UIFCBTJDT,0
thefileto,UIFGJMFUP,0
canyouget,DBOZPVHFU,0
weekssoif,XFFLTTPJG,0
withatext,XJUIBUFYU,0
moveahead,NPWFBIFBE,0
isthesite,JTUIFTJUF,0
longasall,MPOHBTBMM,0
sothatthe,TPUIBUUIF,0
notmetthe,OPUNFUUIF,0
education,FEVDBUJPO,0
gbringsup,HCSJOHTVQ,0
including,JODMVEJOH,0
howtowork,IPXUPXPSL,0
cascaders,DBTDBEFST,0
andasyour,BOEBTZPVS,0
andpassit,BOEQBTTJU,0
tohaveits,UPIBWFJUT,0
inseconds,JOTFDPOET,0
tousewhat,UPVTFXIBU,0
hiroshima,IJSPTIJNB,0
andnowits,BOEOPXJUT,0
acapitalu,BDBQJUBMV,0
istellthe,JTUFMMUIF,0
chemistry,DIFNJTUSZ,0
launching,MBVODIJOH,0
andlookup,BOEMPPLVQ,0
canusethe,DBOVTFUIF,0
totheidea,UPUIFJEFB,0
bythetext,CZUIFUFYU,0
tobefully,UPCFGVMMZ,0
thesizeof,UIFTJAFPG,0
youunless,ZPVVOMFTT,0
arehugeso,BSFIVHFTP,0
anyfeesor,BOZGFFTPS,0
newsgroup,OFXTHSPVQ,0
andthelaw,BOEUIFMBX,0
seeabrief,TFFBCSJFG,0
thenetyou,UIFOFUZPV,0
roughlyto,SPVHIMZUP,0
toemailit,UPFNBJMJU,0
waybackto,XBZCBDLUP,0
amacyoull,BNBDZPVMM,0
theworldf,UIFXPSMEG,0
thatisthe,UIBUJTUIF,0
hintifyou,IJOUJGZPV,0
satellite,TBUFMMJUF,0
oryoujust,PSZPVKVTU,0
generally,HFOFSBMMZ,0
celestial,DFMFTUJBM,0
unleashed,VOMFBTIFE,0
thenetuse,UIFOFUVTF,0
readyfora,SFBEZGPSB,0
addicting,BEEJDUJOH,0
todialthe,UPEJBMUIF,0
atacouple,BUBDPVQMF,0
thetimeby,UIFUJNFCZ,0
forgotten,GPSHPUUFO,0
workinits,XPSLJOJUT,0
toimposea,UPJNQPTFB,0
hospitals,IPTQJUBMT,0
youcantry,ZPVDBOUSZ,0
tothefbis,UPUIFGCJT,0
feelsalot,GFFMTBMPU,0
tobeyours,UPCFZPVST,0
oneforthe,POFGPSUIF,0
totellits,UPUFMMJUT,0
tocallthe,UPDBMMUIF,0
bulletins,CVMMFUJOT,0
hepostsit,IFQPTUTJU,0
tothisare,UPUIJTBSF,0
otherwise,PUIFSXJTF,0
backspace,CBDLTQBDF,0
doesitfor,EPFTJUGPS,0
toquitand,UPRVJUBOE,0
ofunixand,PGVOJYBOE,0
apartoras,BQBSUPSBT,0
ascreenit,BTDSFFOJU,0
amonetime,BNPOFUJNF,0
fromftpto,GSPNGUQUP,0
andmorein,BOENPSFJO,0
letterusa,MFUUFSVTB,0
nowyoumay,OPXZPVNBZ,0
companies,DPNQBOJFT,0
butwhatif,CVUXIBUJG,0
anchorage,BODIPSBHF,0
typingina,UZQJOHJOB,0
unixlogon,VOJYMPHPO,0
asmileyby,BTNJMFZCZ,0
callvoice,DBMMWPJDF,0
onthesame,POUIFTBNF,0
remembers,SFNFNCFST,0
suggested,TVHHFTUFE,0
usersgeta,VTFSTHFUB,0
hasforuse,IBTGPSVTF,0
nutsifyou,OVUTJGZPV,0
inscopeto,JOTDPQFUP,0
canceling,DBODFMJOH,0
sausalito,TBVTBMJUP,0
youhitthe,ZPVIJUUIF,0
mynameand,NZOBNFBOE,0
orsobytes,PSTPCZUFT,0
siteonthe,TJUFPOUIF,0
thefileas,UIFGJMFBT,0
youanfind,ZPVBOGJOE,0
emailhasa,FNBJMIBTB,0
letterais,MFUUFSBJT,0
hepostsin,IFQPTUTJO,0
youjoinan,ZPVKPJOBO,0
paragraph,QBSBHSBQI,0
youatyour,ZPVBUZPVS,0
lateronin,MBUFSPOJO,0
canbedone,DBOCFEPOF,0
andevenin,BOEFWFOJO,0
diraswell,EJSBTXFMM,0
thatoneof,UIBUPOFPG,0
athreadof,BUISFBEPG,0
treatment,USFBUNFOU,0
aswiththe,BTXJUIUIF,0
intimesof,JOUJNFTPG,0
schedules,TDIFEVMFT,0
knownasrn,LOPXOBTSO,0
andthebad,BOEUIFCBE,0
arefreeof,BSFGSFFPG,0
passwords,QBTTXPSET,0
inanumber,JOBOVNCFS,0
afilesize,BGJMFTJAF,0
endofmotd,FOEPGNPUE,0
documents,EPDVNFOUT,0
ofsitesor,PGTJUFTPS,0
tomillion,UPNJMMJPO,0
thegroupq,UIFHSPVQR,0
bytheiowa,CZUIFJPXB,0
prarienet,QSBSJFOFU,0
awayinthe,BXBZJOUIF,0
wehavenot,XFIBWFOPU,0
karlsruhe,LBSMTSVIF,0
youllseea,ZPVMMTFFB,0
newspaper,OFXTQBQFS,0
professor,QSPGFTTPS,0
selectand,TFMFDUBOE,0
fileuuand,GJMFVVBOE,0
fingering,GJOHFSJOH,0
inthemenu,JOUIFNFOV,0
soonuntil,TPPOVOUJM,0
pubusenet,QVCVTFOFU,0
foraround,GPSBSPVOE,0
itmayonly,JUNBZPOMZ,0
intrigues,JOUSJHVFT,0
taketoget,UBLFUPHFU,0
reporters,SFQPSUFST,0
atmitthat,BUNJUUIBU,0
todeletea,UPEFMFUFB,0
backwitha,CBDLXJUIB,0
casesoyou,DBTFTPZPV,0
heyimhere,IFZJNIFSF,0
onelineat,POFMJOFBU,0
bulletins,CVMMFUJOT,0
loginmeem,MPHJONFFN,0
isaboutto,JTBCPVUUP,0
andwhatif,BOEXIBUJG,0
newforyou,OFXGPSZPV,0
publishes,QVCMJTIFT,0
knowledge,LOPXMFEHF,0
espionage,FTQJPOBHF,0
istheroot,JTUIFSPPU,0
softwares,TPGUXBSFT,0
thewordor,UIFXPSEPS,0
youplanto,ZPVQMBOUP,0
asguestat,BTHVFTUBU,0
hourtouse,IPVSUPVTF,0
soifyours,TPJGZPVST,0
cleveland,DMFWFMBOE,0
goawayfor,HPBXBZGPS,0
obnoxious,PCOPYJPVT,0
newfileuk,OFXGJMFVL,0
youwherea,ZPVXIFSFB,0
ordinance,PSEJOBODF,0
tothefull,UPUIFGVMM,0
collapsed,DPMMBQTFE,0
ifyoulive,JGZPVMJWF,0
meansitis,NFBOTJUJT,0
toseeyour,UPTFFZPVS,0
andthenat,BOEUIFOBU,0
begivenan,CFHJWFOBO,0
willtakea,XJMMUBLFB,0
arrivethe,BSSJWFUIF,0
howtohelp,IPXUPIFMQ,0
toexcelat,UPFYDFMBU,0
moveupand,NPWFVQBOE,0
lististhe,MJTUJTUIF,0
standings,TUBOEJOHT,0
beginning,CFHJOOJOH,0
databases,EBUBCBTFT,0
uploading,VQMPBEJOH,0
elmundode,FMNVOEPEF,0
sevensome,TFWFOTPNF,0
donations,EPOBUJPOT,0
andrnhave,BOESOIBWF,0
typetijoy,UZQFUJKPZ,0
letterbig,MFUUFSCJH,0
quitonthe,RVJUPOUIF,0
thistoget,UIJTUPHFU,0
waystotie,XBZTUPUJF,0
